SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-10.0018,0.0130715,0.00972965,0.0148706,0.0150331,0.0126525,0.0361777,0.0394306,0.0297412,0.0395095,0.0360297,0.934235,0.937378,0.935059,0.934326,0.930176
-8.00183,0.0262252,0.0186961,0.0284593,0.029027,0.0287185,0.0672273,0.0592639,0.0644169,0.0695332,0.0756952,0.932841,0.934326,0.93278,0.938477,0.925781
-6.00183,0.0520453,0.0334674,0.0513807,0.0633553,0.0599778,0.11898,0.11838,0.113243,0.123842,0.120454,0.931366,0.928589,0.929199,0.934082,0.933594
-4.00183,0.107021,0.0833198,0.101615,0.121358,0.121792,0.204221,0.187897,0.198512,0.215516,0.214958,0.926086,0.926025,0.923828,0.929688,0.924805
-2.00183,0.183269,0.142237,0.16471,0.208969,0.217161,0.333337,0.329984,0.321149,0.341159,0.341057,0.916768,0.925049,0.915365,0.916016,0.910645
-0.00182897,0.298293,0.230214,0.2639,0.339836,0.359222,0.497753,0.493902,0.487016,0.495777,0.514317,0.903483,0.907959,0.90153,0.902588,0.901855
1.99817,0.462718,0.366839,0.419613,0.521199,0.543221,0.683712,0.675899,0.688176,0.685586,0.685187,0.877675,0.893677,0.887533,0.874512,0.85498
3.99817,0.680123,0.570317,0.630562,0.751503,0.768109,0.909756,0.902795,0.894004,0.915115,0.927109,0.855957,0.870361,0.864746,0.852783,0.835938
5.99817,0.939787,0.835766,0.897154,1.00568,1.02055,1.14793,1.14698,1.12647,1.15959,1.15869,0.820465,0.835327,0.832031,0.821045,0.793457
7.99817,1.24412,1.17475,1.23122,1.29111,1.2794,1.3996,1.39652,1.38909,1.41323,1.39957,0.771301,0.789551,0.77832,0.777588,0.739746
9.99817,1.53677,1.46315,1.5165,1.58756,1.57986,1.68181,1.68421,1.68444,1.68361,1.67497,0.714813,0.738159,0.733398,0.711914,0.675781
11.9982,1.83677,1.77744,1.81145,1.8848,1.8734,1.96876,1.97604,1.94651,1.99263,1.95986,0.647003,0.667358,0.664062,0.640869,0.615723
13.9982,2.13531,2.07626,2.10846,2.18525,2.17129,2.26457,2.27448,2.24757,2.27865,2.25758,0.566284,0.596191,0.578613,0.558105,0.532227
15.9982,2.44633,2.40132,2.41924,2.49233,2.47245,2.55436,2.54462,2.55026,2.56353,2.55901,0.476705,0.503418,0.48763,0.468994,0.446777
17.9982,2.74831,2.71121,2.71399,2.79272,2.77533,2.85795,2.8714,2.84868,2.86965,2.84206,0.384165,0.40979,0.397135,0.371826,0.35791
19.9982,3.06564,3.02407,3.04675,3.10268,3.08906,3.17404,3.16731,3.15937,3.17551,3.19397,0.284688,0.303223,0.2889,0.269775,0.276855
21.9982,3.3775,3.33611,3.36828,3.41162,3.39398,3.45087,3.4454,3.44883,3.45029,3.45897,0.179626,0.197998,0.181152,0.166504,0.172852
23.9982,3.66366,3.65523,3.64107,3.68478,3.67356,3.73581,3.73987,3.73398,3.73767,3.73173,0.0947571,0.0958252,0.0986328,0.0854492,0.0991211
25.9982,3.87637,3.8822,3.85842,3.88927,3.87559,3.90454,3.90188,3.90708,3.89893,3.91026,0.032491,0.0288086,0.0364583,0.0285645,0.0361328
27.9982,3.97463,3.97819,3.96859,3.97879,3.97294,3.97871,3.97688,3.97776,3.97901,3.98121,0.0058492,0.00598145,0.00667318,0.00439453,0.00634766
29.9982,3.99791,3.99843,3.99657,3.99856,3.99809,3.99924,3.99944,3.99897,3.99937,3.99916,0.000539144,0.000610352,0.000813802,0.000244141,0.000488281
31.9982,4,4,4,4,4,3.99998,4,3.99997,3.99996,3.99999,0,0,0,0,0
33.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
35.9982,4,4,4,4,4,3.99793,3.99992,3.99969,3.99806,3.99407,0,0,0,0,0
37.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
39.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
41.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
43.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
45.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
47.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
49.9982,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
