SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-10.0002,0.0227318,0.0045098,0.0174379,0.0279875,0.0409921,0.0699384,0.0330856,0.0562321,0.0896107,0.100825,0.933177,0.937134,0.931803,0.933594,0.930176
-8.00024,0.051222,0.0117359,0.0386377,0.0653893,0.089125,0.137494,0.0574431,0.125856,0.170028,0.196648,0.932495,0.935791,0.9375,0.928467,0.928223
-6.00024,0.105386,0.0247633,0.0793827,0.138801,0.178596,0.242297,0.135828,0.22805,0.288501,0.316809,0.923024,0.931274,0.928548,0.914795,0.91748
-4.00024,0.199945,0.0487283,0.161457,0.267067,0.322528,0.42202,0.27922,0.405017,0.486494,0.517349,0.912771,0.92688,0.906576,0.9104,0.907227
-2.00024,0.349062,0.0973077,0.298223,0.459779,0.540938,0.66562,0.54576,0.644941,0.72639,0.745389,0.888824,0.920532,0.887207,0.882324,0.865234
-0.000241225,0.560362,0.172479,0.538068,0.726222,0.804678,0.954427,0.875205,0.939655,0.982189,1.02066,0.872732,0.914429,0.877767,0.856445,0.842285
1.99976,0.835513,0.317224,0.905413,1.03239,1.08703,1.24589,1.205,1.2447,1.26493,1.26894,0.834513,0.894775,0.830729,0.812744,0.799805
3.99976,1.17236,0.719901,1.23822,1.34403,1.38728,1.54395,1.51796,1.5219,1.56293,1.57303,0.774872,0.840942,0.772461,0.756592,0.729492
5.99976,1.54033,1.22693,1.57416,1.66011,1.70011,1.83219,1.82302,1.80907,1.84861,1.84804,0.710815,0.772461,0.713379,0.691895,0.665527
7.99976,1.8966,1.68473,1.91507,1.97744,2.00917,2.12109,2.11472,2.10991,2.13305,2.12669,0.636169,0.682373,0.640137,0.625,0.597168
9.99976,2.23544,2.09541,2.24519,2.29173,2.30942,2.43063,2.42882,2.43439,2.43336,2.42597,0.546377,0.581421,0.550618,0.536865,0.516602
11.9998,2.57337,2.45955,2.5789,2.62138,2.63366,2.73713,2.74236,2.71375,2.7614,2.731,0.443247,0.483521,0.454264,0.429443,0.405762
13.9998,2.9061,2.81617,2.91531,2.94138,2.95153,3.05184,3.05626,3.0376,3.06503,3.04846,0.338613,0.369263,0.342611,0.325195,0.317383
15.9998,3.24184,3.18967,3.24233,3.2615,3.27388,3.34998,3.33544,3.34834,3.35729,3.35885,0.224192,0.240601,0.229167,0.219482,0.20752
17.9998,3.55536,3.51885,3.55366,3.57283,3.5761,3.63484,3.64424,3.63079,3.64198,3.62235,0.124969,0.134399,0.125,0.120361,0.120117
19.9998,3.81006,3.80173,3.8033,3.81736,3.81784,3.84628,3.84608,3.84104,3.84613,3.85188,0.0503235,0.0518799,0.0512695,0.0463867,0.0517578
21.9998,3.95083,3.9503,3.94896,3.95152,3.95255,3.95103,3.94958,3.95194,3.94897,3.95364,0.0116374,0.0131836,0.0128581,0.0117188,0.00878906
23.9998,3.99451,3.9959,3.99352,3.99556,3.99305,3.995,3.99466,3.9957,3.99445,3.9952,0.00165812,0.00109863,0.0016276,0.00146484,0.00244141
25.9998,3.99982,4,3.99943,4,3.99983,3.99947,3.99891,3.99994,3.99951,3.99952,0,0,0,0,0
27.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
29.9998,4,4,4,4,4,3.99998,4,4,4,3.9999,0,0,0,0,0
31.9998,4,4,4,4,4,3.99936,4,3.99983,3.99956,3.99803,0,0,0,0,0
33.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
35.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
37.9998,4,4,4,4,4,3.99818,4,3.99272,4,4,0,0,0,0,0
39.9998,4,4,4,4,4,3.99451,4,3.97804,4,4,0,0,0,0,0
41.9998,3.9375,3.75,4,4,4,3.99476,4,3.97903,4,4,0.00848389,0.0339355,0,0,0
43.9998,3.9375,3.75,4,4,4,3.99381,4,3.97523,4,4,0.00793457,0.0317383,0,0,0
45.9998,4,4,4,4,4,3.98645,4,3.9458,4,4,0,0,0,0,0
47.9998,4,4,4,4,4,3.99735,4,3.98939,4,4,0,0,0,0,0
49.9998,4,4,4,4,4,3.9978,4,3.9912,4,4,0,0,0,0,0
