SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-5.00024,0.100354,0.0330927,0.0778568,0.132096,0.158371,0.11008,0.0286571,0.0940176,0.137127,0.180518,0.926524,0.935181,0.930339,0.918701,0.921875
-4.00024,0.154286,0.0522303,0.123731,0.200653,0.24053,0.169473,0.0420925,0.142541,0.227874,0.265384,0.919678,0.928711,0.924316,0.918457,0.907227
-3.00024,0.230778,0.0810882,0.190788,0.295963,0.355272,0.249995,0.0692061,0.213131,0.32946,0.388183,0.914612,0.927002,0.919434,0.908203,0.903809
-2.00024,0.335201,0.123034,0.285903,0.42484,0.507025,0.363361,0.111325,0.343248,0.455108,0.543763,0.899933,0.929565,0.908203,0.888916,0.873047
-1.00024,0.471704,0.18425,0.416618,0.5909,0.695046,0.531587,0.232811,0.509371,0.639063,0.745103,0.885712,0.922729,0.899414,0.878418,0.842285
-0.000241225,0.64033,0.263055,0.594703,0.788586,0.914976,0.754548,0.46076,0.717517,0.868673,0.971241,0.864766,0.906982,0.872884,0.855957,0.823242
0.999759,0.852757,0.414731,0.82848,1.00811,1.1597,0.988955,0.7324,0.938448,1.09757,1.1874,0.836558,0.890259,0.848307,0.826904,0.780762
1.99976,1.09901,0.652059,1.09099,1.23584,1.41715,1.27,1.05744,1.20343,1.36313,1.45601,0.800405,0.868042,0.801595,0.790771,0.741211
2.99976,1.36988,0.95419,1.3721,1.46827,1.68497,1.55852,1.338,1.49485,1.65076,1.75045,0.754995,0.822632,0.756185,0.755127,0.686035
3.99976,1.66112,1.28964,1.6556,1.73935,1.9599,1.83882,1.61666,1.78953,1.92666,2.02243,0.697988,0.774536,0.69222,0.699219,0.625977
4.99976,1.97525,1.62424,1.9434,2.09448,2.23888,2.14235,1.93046,2.0824,2.2158,2.34076,0.615621,0.700195,0.623372,0.5979,0.541016
5.99976,2.28741,1.94503,2.24665,2.4232,2.53477,2.43388,2.211,2.36659,2.52582,2.63212,0.530426,0.629517,0.542969,0.496582,0.452637
6.99976,2.59634,2.24813,2.54598,2.72693,2.8643,2.73495,2.50683,2.67434,2.81304,2.94559,0.434845,0.547485,0.456543,0.394531,0.34082
7.99976,2.90263,2.5522,2.85546,3.03496,3.16789,3.04543,2.82215,2.98026,3.13588,3.24344,0.33843,0.452515,0.359212,0.299316,0.242676
8.99976,3.21197,2.83951,3.17136,3.3422,3.4948,3.3493,3.11726,3.28886,3.44707,3.54399,0.237172,0.353394,0.255208,0.201416,0.138672
9.99976,3.52747,3.15037,3.51146,3.66741,3.78061,3.67918,3.48457,3.64437,3.7631,3.82468,0.137136,0.253784,0.147786,0.0917969,0.0551758
10.9998,3.85849,3.65103,3.90022,3.92709,3.95561,3.93389,3.91242,3.92384,3.94471,3.9546,0.0395915,0.0979004,0.0260417,0.020752,0.0136719
11.9998,3.99463,3.98947,3.99518,3.99733,3.99652,3.99484,3.99402,3.99635,3.99561,3.99338,0.00170898,0.00292969,0.00195312,0.000976562,0.000976562
12.9998,3.99994,3.99978,4,4,4,3.99956,3.99962,3.99922,3.99997,3.99941,3.05176e-05,0.00012207,0,0,0
13.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
14.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
15.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
16.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
17.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
18.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
19.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
